sale_id,customer_id,product_id,product_name,category,sale_amount,sale_date,quantity,discount_percent,sales_rep_id
1001,1,P001,Laptop Pro,Electronics,1299.99,2024-01-15,1,10,R001
1002,2,P002,Office Chair,Furniture,299.50,2024-01-16,2,5,R002
1003,3,P003,Coffee Maker,Appliances,89.99,2024-01-17,1,0,R001
1004,1,P004,Wireless Mouse,Electronics,45.99,2024-01-18,3,15,R003
1005,4,P001,Laptop Pro,Electronics,1299.99,2024-01-19,1,10,R002
1006,5,P005,Desk Lamp,Furniture,79.99,2024-01-20,2,0,R001
1007,6,P006,Smartphone,Electronics,899.99,2024-01-21,1,20,R003
1008,2,P007,Blender,Appliances,149.99,2024-01-22,1,5,R002
1009,7,P008,Gaming Keyboard,Electronics,199.99,2024-01-23,1,0,R001
1010,8,P009,Standing Desk,Furniture,599.99,2024-01-24,1,25,R003
1011,3,P010,Air Purifier,Appliances,299.99,2024-01-25,1,10,R002
1012,9,P002,Office Chair,Furniture,299.50,2024-01-26,1,5,R001
1013,10,P011,Tablet,Electronics,449.99,2024-01-27,1,15,R003
1014,4,P012,Microwave,Appliances,199.99,2024-01-28,1,0,R002
1015,11,P013,Monitor,Electronics,349.99,2024-01-29,2,20,R001
1016,12,P014,Sofa,Furniture,1299.99,2024-01-30,1,30,R003
1017,5,P015,Headphones,Electronics,159.99,2024-02-01,1,10,R002
1018,13,P003,Coffee Maker,Appliances,89.99,2024-02-02,2,0,R001
1019,14,P016,Printer,Electronics,249.99,2024-02-03,1,5,R003
1020,6,P017,Vacuum Cleaner,Appliances,399.99,2024-02-04,1,15,R002
1021,15,P018,Bookshelf,Furniture,199.99,2024-02-05,1,0,R001
1022,7,P019,Smart Watch,Electronics,299.99,2024-02-06,1,25,R003
1023,1,P020,Dishwasher,Appliances,699.99,2024-02-07,1,20,R002
1024,8,P021,Ergonomic Chair,Furniture,449.99,2024-02-08,1,10,R001
1025,2,P022,Webcam,Electronics,79.99,2024-02-09,2,5,R003
